iter	Passed	Remaining
399	34075	51112
400	34129	50981
401	34209	50889
402	34297	50807
403	34362	50693
404	34456	50620
405	34546	50543
406	34611	50428
407	34697	50345
408	34755	50220
409	34800	50078
410	34871	49973
411	34966	49902
412	35057	49827
413	35133	49730
414	35231	49664
415	35321	49586
416	35415	49514
417	35512	49445
418	35559	49308
419	35604	49168
420	35691	49087
421	35736	48947
422	35823	48865
423	35911	48785
424	35988	48689
425	36085	48621
426	36191	48566
427	36297	48509
428	36349	48381
429	36459	48329
430	36559	48265
431	36676	48222
432	36796	48183
433	36919	48147
434	37015	48077
435	37103	47996
436	37172	47890
437	37272	47825
438	37303	47670
439	37369	47560
440	37467	47492
441	37533	47383
442	37591	47264
443	37688	47195
444	37738	47067
445	37792	46943
446	37886	46870
447	37960	46772
448	38006	46641
449	38065	46524
450	38137	46424
451	38208	46324
452	38306	46255
453	38402	46184
454	38466	46075
455	38569	46012
456	38637	45908
457	38748	45855
458	38860	45802
459	38964	45741
460	39058	45666
461	39137	45575
462	39231	45501
463	39323	45425
464	39387	45317
465	39439	45195
466	39525	45111
467	39603	45019
468	39683	44929
469	39779	44857
470	39872	44782
471	39960	44701
472	40060	44633
473	40139	44542
474	40213	44446
475	40308	44373
476	40406	44303
477	40498	44225
478	40581	44139
479	40672	44061
480	40748	43967
481	40832	43881
482	40900	43779
483	40948	43655
484	40995	43531
485	41082	43449
486	41175	43373
487	41272	43302
488	41368	43229
489	41472	43165
490	41566	43090
491	41656	43011
492	41768	42954
493	41859	42876
494	41939	42787
495	42035	42713
496	42130	42639
497	42199	42538
498	42296	42465
499	42388	42388
500	42481	42311
501	42573	42234
502	42666	42157
503	42761	42082
504	42866	42017
505	42966	41947
506	43070	41881
507	43174	41814
508	43296	41765
509	43420	41717
510	43468	41596
511	43592	41549
512	43746	41528
513	43890	41499
514	44025	41460
515	44184	41444
516	44331	41416
517	44472	41381
518	44633	41365
519	44722	41282
520	44805	41193
521	44863	41081
522	44929	40977
523	45017	40894
524	45101	40806
525	45187	40720
526	45274	40635
527	45360	40549
528	45451	40467
529	45538	40383
530	45634	40306
531	45727	40226
532	45818	40144
533	45870	40029
534	45961	39948
535	46047	39862
536	46145	39786
537	46233	39702
538	46321	39618
539	46407	39532
540	46494	39447
541	46602	39379
542	46653	39264
543	46743	39181
544	46790	39063
545	46878	38979
546	46973	38901
547	47058	38815
548	47142	38727
549	47206	38623
550	47249	38502
551	47344	38424
552	47438	38345
553	47533	38267
554	47622	38183
555	47702	38093
556	47797	38014
557	47886	37931
558	47977	37849
559	48064	37765
560	48094	37635
561	48179	37548
562	48264	37462
563	48313	37348
564	48410	37271
565	48511	37197
566	48597	37112
567	48638	36992
568	48699	36888
569	48745	36772
570	48801	36665
571	48864	36562
572	48954	36481
573	49050	36403
574	49134	36316
575	49217	36229
576	49305	36145
577	49401	36068
578	49507	35997
579	49619	35931
580	49695	35838
581	49810	35774
582	49912	35700
583	50015	35627
584	50114	35551
585	50208	35471
586	50286	35380
587	50378	35299
588	50457	35208
589	50495	35089
590	50585	35007
591	50671	34922
592	50749	34831
593	50843	34751
594	50906	34650
595	50944	34532
596	51043	34456
597	51139	34378
598	51182	34264
599	51275	34183
600	51374	34107
601	51461	34022
602	51553	33941
603	51649	33862
604	51739	33780
605	51780	33666
606	51866	33580
607	51957	33499
608	52050	33418
609	52130	33329
610	52229	33252
611	52311	33165
612	52380	33068
613	52468	32985
614	52508	32871
615	52593	32785
616	52697	32711
617	52742	32601
618	52829	32516
619	52921	32435
620	53010	32352
621	53095	32266
622	53134	32153
623	53232	32076
624	53326	31995
625	53414	31912
626	53498	31825
627	53600	31750
628	53701	31674
629	53802	31598
630	53871	31503
631	53976	31429
632	54073	31350
633	54173	31273
634	54220	31166
635	54290	31072
636	54365	30980
637	54460	30900
638	54522	30802
639	54613	30720
640	54705	30638
641	54797	30557
642	54909	30486
643	55027	30419
644	55102	30327
645	55193	30245
646	55307	30175
647	55398	30092
648	55527	30031
649	55618	29948
650	55711	29866
651	55808	29787
652	55897	29703
653	55991	29622
654	56077	29537
655	56175	29457
656	56268	29376
657	56332	29279
658	56417	29193
659	56541	29127
660	56626	29041
661	56716	28957
662	56769	28855
663	56864	28774
664	56949	28688
665	57042	28606
666	57138	28526
667	57225	28441
668	57323	28362
669	57386	28265
670	57476	28181
671	57569	28099
672	57656	28014
673	57715	27915
674	57787	27823
675	57877	27740
676	57950	27648
677	58035	27562
678	58115	27474
679	58213	27394
680	58290	27304
681	58376	27219
682	58475	27140
683	58567	27057
684	58666	26978
685	58769	26900
686	58866	26820
687	58971	26742
688	59067	26661
689	59175	26586
690	59229	26486
691	59329	26406
692	59410	26318
693	59473	26223
694	59531	26125
695	59606	26035
696	59674	25941
697	59760	25856
698	59870	25780
699	59965	25699
700	60049	25612
701	60145	25531
702	60237	25448
703	60343	25371
704	60458	25298
705	60574	25225
706	60686	25149
707	60782	25068
708	60833	24968
709	60880	24866
710	60927	24765
711	61017	24681
712	61107	24597
713	61190	24510
714	61280	24426
715	61370	24342
716	61463	24259
717	61556	24176
718	61640	24090
719	61738	24009
720	61830	23926
721	61921	23842
722	62016	23760
723	62071	23662
724	62185	23587
725	62297	23511
726	62387	23427
727	62478	23343
728	62576	23262
729	62615	23158
730	62700	23073
731	62790	22988
732	62878	22903
733	62908	22798
734	62995	22712
735	63084	22628
736	63165	22540
737	63249	22454
738	63341	22370
739	63429	22286
740	63482	22188
741	63570	22104
742	63634	22010
743	63723	21926
744	63817	21843
745	63856	21742
746	63911	21646
747	64017	21567
748	64115	21485
749	64204	21401
750	64307	21321
751	64417	21243
752	64515	21162
753	64622	21083
754	64715	21000
755	64808	20916
756	64896	20831
757	64994	20750
758	65078	20663
759	65178	20582
760	65261	20496
761	65357	20413
762	65440	20326
763	65533	20243
764	65627	20159
765	65730	20079
766	65845	20002
767	65958	19925
768	66065	19845
769	66169	19765
770	66261	19680
771	66353	19596
772	66451	19514
773	66511	19420
774	66595	19334
775	66684	19249
776	66745	19155
777	66830	19069
778	66927	18987
779	67020	18903
780	67112	18819
781	67176	18726
782	67267	18642
783	67360	18558
784	67454	18474
785	67545	18390
786	67630	18303
787	67721	18219
788	67792	18129
789	67880	18044
790	67966	17958
791	68080	17879
792	68164	17793
793	68222	17700
794	68298	17611
795	68390	17527
796	68482	17442
797	68558	17354
798	68651	17270
799	68746	17186
800	68822	17098
801	68915	17014
802	68995	16926
803	69088	16842
804	69174	16756
805	69218	16660
806	69301	16573
807	69369	16483
808	69455	16398
809	69553	16314
810	69637	16228
811	69693	16136
812	69796	16054
813	69910	15974
814	70017	15893
815	70127	15812
816	70228	15730
817	70334	15648
818	70432	15565
819	70523	15480
820	70629	15399
821	70717	15313
822	70790	15224
823	70883	15140
824	70920	15043
825	71002	14956
826	71098	14873
827	71211	14792
828	71326	14712
829	71439	14632
830	71521	14545
831	71614	14460
832	71702	14374
833	71757	14282
834	71802	14188
835	71888	14102
836	71965	14014
837	72004	13919
838	72103	13836
839	72210	13754
840	72304	13669
841	72382	13582
842	72473	13497
843	72513	13403
844	72544	13306
845	72634	13221
846	72725	13136
847	72784	13046
848	72870	12960
849	72902	12865
850	72985	12778
851	73080	12694
852	73176	12610
853	73205	12515
854	73288	12429
855	73317	12333
856	73403	12248
857	73498	12164
858	73590	12079
859	73685	11995
860	73723	11901
861	73805	11815
862	73900	11731
863	73995	11647
864	74034	11554
865	74091	11464
866	74182	11379
867	74274	11295
868	74368	11210
869	74460	11126
870	74550	11041
871	74643	10956
872	74737	10872
873	74828	10787
874	74922	10703
875	75018	10619
876	75053	10526
877	75138	10440
878	75174	10348
879	75295	10267
880	75415	10186
881	75540	10106
882	75623	10020
883	75715	9935
884	75806	9850
885	75897	9765
886	75991	9680
887	76084	9596
888	76126	9505
889	76189	9416
890	76290	9332
891	76381	9247
892	76488	9164
893	76597	9082
894	76670	8994
895	76788	8912
896	76894	8829
897	76989	8744
898	77079	8659
899	77171	8574
900	77266	8489
901	77356	8404
902	77438	8318
903	77525	8232
904	77614	8147
905	77676	8059
906	77764	7973
907	77850	7887
908	77935	7802
909	78021	7716
910	78081	7628
911	78172	7542
912	78265	7457
913	78304	7367
914	78374	7280
915	78458	7194
916	78503	7105
917	78591	7020
918	78674	6934
919	78756	6848
920	78853	6763
921	78943	6678
922	79036	6593
923	79131	6508
924	79222	6423
925	79318	6338
926	79366	6250
927	79454	6164
928	79565	6080
929	79674	5997
930	79777	5912
931	79861	5826
932	79951	5741
933	80038	5655
934	80123	5570
935	80174	5481
936	80261	5396
937	80358	5311
938	80448	5226
939	80550	5141
940	80651	5056
941	80751	4971
942	80849	4886
943	80946	4801
944	81036	4716
945	81120	4630
946	81204	4544
947	81299	4459
948	81393	4374
949	81477	4288
950	81559	4202
951	81601	4114
952	81716	4030
953	81777	3943
954	81878	3858
955	81994	3773
956	82107	3689
957	82265	3606
958	82380	3522
959	82493	3437
960	82582	3351
961	82674	3265
962	82761	3179
963	82848	3093
964	82945	3008
965	83030	2922
966	83128	2836
967	83236	2751
968	83315	2665
969	83391	2579
970	83434	2491
971	83545	2406
972	83641	2320
973	83734	2235
974	83825	2149
975	83934	2063
976	84030	1978
977	84136	1892
978	84177	1805
979	84224	1718
980	84307	1632
981	84428	1547
982	84536	1461
983	84622	1375
984	84733	1290
985	84825	1204
986	84917	1118
987	85030	1032
988	85120	946
989	85149	860
990	85245	774
991	85340	688
992	85390	601
993	85459	515
994	85525	429
995	85613	343
996	85705	257
997	85744	171
998	85837	85
999	85936	0
