iter	Logloss
0	0.6832806015
1	0.6749695981
2	0.6638573875
3	0.6557012571
4	0.6460586552
5	0.6364689918
6	0.6295671007
7	0.6199775819
8	0.6131127096
9	0.6047652947
10	0.5981968985
11	0.590857622
12	0.585583301
13	0.5804410035
14	0.5735942393
15	0.5668337439
16	0.5604772448
17	0.5547455722
18	0.5500809841
19	0.5448558375
20	0.5388340391
21	0.5344403896
22	0.5286072327
23	0.524425988
24	0.5201696361
25	0.5149768285
26	0.5128699212
27	0.5084899757
28	0.5044740254
29	0.5011406017
30	0.498024385
31	0.494940578
32	0.4906284574
33	0.4868951605
34	0.483938886
35	0.4806178634
36	0.4783044951
37	0.4749774558
38	0.4718824952
39	0.4690654811
40	0.4674931146
41	0.4648166807
42	0.4625956346
43	0.459990984
44	0.4583545595
45	0.4566142805
46	0.4540820843
47	0.4526223121
48	0.450610293
49	0.4490205716
50	0.4469712711
51	0.4452310433
52	0.443524397
53	0.4415628001
54	0.4402269491
55	0.4386861729
56	0.4368898386
57	0.4353881417
58	0.433276583
59	0.4324541894
60	0.430927078
61	0.4294703075
62	0.4284515358
63	0.4276763736
64	0.4261758223
65	0.4250049245
66	0.4234376489
67	0.4220411663
68	0.4214931025
69	0.4200348978
70	0.4192155431
71	0.4175877751
72	0.4163424797
73	0.4161049099
74	0.4152642314
75	0.4137914919
76	0.4128769435
77	0.4120434407
78	0.4113067191
79	0.4107507975
80	0.4101698127
81	0.4089963675
82	0.4084269274
83	0.4074312932
84	0.4069882024
85	0.4063008403
86	0.4056798948
87	0.4045087362
88	0.4036065494
89	0.40253276
90	0.402150354
91	0.4013000877
92	0.4010472079
93	0.4003027498
94	0.3997660235
95	0.3988067911
96	0.3979504064
97	0.3977670204
98	0.3971406888
99	0.3966084304
100	0.3963990772
101	0.395737457
102	0.3953522984
103	0.3945927727
104	0.3942462177
105	0.3936406812
106	0.3934508472
107	0.3932567896
108	0.3932114522
109	0.3930778511
110	0.3928653649
111	0.392736937
112	0.392323396
113	0.3919512428
114	0.3917019282
115	0.3915118371
116	0.3909040171
117	0.3907821027
118	0.3905074484
119	0.3903348344
120	0.3900584017
121	0.3898594302
122	0.3896973906
123	0.3889621345
124	0.3885847836
125	0.3884955727
126	0.3883130582
127	0.3879696184
128	0.3875720478
129	0.3873655218
130	0.3872355407
131	0.3870917293
132	0.3868399061
133	0.3865550764
134	0.3860295045
135	0.3858961333
136	0.3855048534
137	0.385043312
138	0.3846939371
139	0.3845692599
140	0.3844306713
141	0.383876614
142	0.3838039436
143	0.3837922928
144	0.3836435201
145	0.3832575924
146	0.383014187
147	0.3828321584
148	0.3823989875
149	0.3822106336
150	0.3820858122
151	0.3816730406
152	0.3813163899
153	0.3807694141
154	0.3805751189
155	0.3798742887
156	0.379749015
157	0.3796808394
158	0.3795263457
159	0.3792197357
160	0.3789307088
161	0.3787051047
162	0.3786433958
163	0.3784038869
164	0.3781563979
165	0.3777074147
166	0.3775294621
167	0.3771241277
168	0.3767734367
169	0.3767371242
170	0.3766898444
171	0.3764164652
172	0.3763026098
173	0.3760676282
174	0.3757813455
175	0.3756273817
176	0.3755038751
177	0.375444061
178	0.3754080541
179	0.3750290952
180	0.3749695407
181	0.3747807704
182	0.3744696017
183	0.3742958644
184	0.3742786169
185	0.3741281243
186	0.3738336039
187	0.3735341126
188	0.3734884229
189	0.3733985723
190	0.3732515426
191	0.3727809535
192	0.3726461869
193	0.3719492434
194	0.3715196188
195	0.3714098838
196	0.3709567231
197	0.3708963817
198	0.3705901198
199	0.3705604299
200	0.3702970289
201	0.3700992017
202	0.3696438084
203	0.3693552929
204	0.3693171511
205	0.3692054314
206	0.3691492699
207	0.3691177938
208	0.3689894505
209	0.3689222687
210	0.3685696093
211	0.3682771152
212	0.3679965478
213	0.3679034311
214	0.3676582698
215	0.3676530835
216	0.3676110575
217	0.3675446627
218	0.3675210827
219	0.3674550216
220	0.3673695562
221	0.3673198985
222	0.3670083587
223	0.3668274458
224	0.3666845464
225	0.3662052681
226	0.3661025268
227	0.3660601356
228	0.3656861464
229	0.3656182461
230	0.3654110154
231	0.3653398924
232	0.3650584353
233	0.3649090164
234	0.3647673724
235	0.3646215463
236	0.3644254869
237	0.3642764288
238	0.3639775531
239	0.3638078006
240	0.3635630416
241	0.36348334
242	0.3634140119
243	0.3632595453
244	0.3632355238
245	0.3629506212
246	0.3627171385
247	0.3627032877
248	0.3625840447
249	0.3624024645
250	0.3621530963
251	0.3619902515
252	0.3618899873
253	0.3616264294
254	0.3616140991
255	0.3614641943
256	0.3613820237
257	0.3612917431
258	0.3611105523
259	0.3610008949
260	0.3609577948
261	0.3608842808
262	0.3607910751
263	0.3606403797
264	0.3606366906
265	0.3605761268
266	0.3605316143
267	0.3604585764
268	0.3603508163
269	0.3602095768
270	0.3602030232
271	0.3600091679
272	0.3599899507
273	0.3597503703
274	0.3597334432
275	0.3595030935
276	0.359224639
277	0.3588808293
278	0.3588666594
279	0.3586828195
280	0.3581700889
281	0.3578289504
282	0.357614617
283	0.3574364986
284	0.3572708187
285	0.3571390897
286	0.3568018845
287	0.3565146547
288	0.3564564319
289	0.3564393205
290	0.3563360577
291	0.356305808
292	0.3561770164
293	0.3561444185
294	0.3557945548
295	0.3557564448
296	0.3556287487
297	0.3555659548
298	0.3552462587
299	0.3551232773
300	0.3549942552
301	0.3549898812
302	0.354850912
303	0.3547971838
304	0.3547199263
305	0.3546240626
306	0.3544452327
307	0.354245222
308	0.3539538803
309	0.3538192296
310	0.3537446048
311	0.3535050485
312	0.35315328
313	0.3531307419
314	0.3530256705
315	0.3530189544
316	0.353018634
317	0.3529921683
318	0.3529898513
319	0.352735482
320	0.3525440425
321	0.352375157
322	0.3519055669
323	0.3518843721
324	0.3518233087
325	0.3517217519
326	0.3515988911
327	0.3514499576
328	0.3512553165
329	0.3511711765
330	0.3509592569
331	0.3509506187
332	0.3509444333
333	0.3508552169
334	0.3506634466
335	0.3506439778
336	0.3505985585
337	0.3503187068
338	0.3502765039
339	0.349925571
340	0.349826903
341	0.3494041898
342	0.3493734702
343	0.3493592146
344	0.3493316233
345	0.3493162502
346	0.3489906534
347	0.3489906534
348	0.3489837408
349	0.3489769401
350	0.3486718685
351	0.3482898101
352	0.3482500544
353	0.3481425307
354	0.3480854873
355	0.3479924827
356	0.3478981713
357	0.3478749753
358	0.3477870852
359	0.3477547964
360	0.3477546258
361	0.3476988471
362	0.3476958088
363	0.3476490485
364	0.3476398299
365	0.3475196023
366	0.3473617654
367	0.3472798875
368	0.3471942435
369	0.3471474111
370	0.3469091049
371	0.3468609817
372	0.3467825949
373	0.346736128
374	0.3465126598
375	0.3464616239
376	0.3463790926
377	0.3461462386
378	0.3461023037
379	0.346034723
380	0.3458605237
381	0.3457722992
382	0.3457675151
383	0.345686508
384	0.3453887111
385	0.3453274912
386	0.3452215285
387	0.3449980411
388	0.3448653342
389	0.3448108839
390	0.3444711009
391	0.3444450979
392	0.3441351244
393	0.3440222142
394	0.3438661104
395	0.3435314347
396	0.3434743432
397	0.3434548855
398	0.3433023218
399	0.3432416054
400	0.343236069
401	0.3432321999
402	0.343181212
403	0.3431531901
404	0.3430926453
405	0.3430296938
406	0.3430089445
407	0.3428711189
408	0.3428526713
409	0.3428393671
410	0.3427809704
411	0.3427265125
412	0.342649041
413	0.3425872637
414	0.3424860415
415	0.3424644109
